Address,Content,Status Code,Status,Indexability,Indexability Status,Title 1,Title 1 Length,Meta Description 1,Meta Description 1 Length,H1-1,H1-1 Length,Canonical Link Element 1,Inlinks,Outlinks,Word Count
https://www.example-florist.com/blogs/news/who-wears-a-boutonniere-in-a-wedding,text/html; charset=utf-8,200,OK,Indexable,,Who Wears a Boutonniere at a Wedding?,38,"Who wears a boutonniere and when? A quick guide for grooms, parents, and VIPs.",109,"Who Wears a Boutonniere at a Wedding",36,https://www.example-florist.com/blogs/news/who-wears-a-boutonniere-in-a-wedding,42,18,1650
https://www.example-florist.com/blogs/news/the-5-most-romantic-flowers-and-their-stories,text/html; charset=utf-8,200,OK,Indexable,,"Most Romantic Flowers and What They Mean",39,"Five romantic flowers and the stories behind them. Pick the right bloom for your message.",111,"Romantic Flowers and Their Stories",32,https://www.example-florist.com/blogs/news/the-5-most-romantic-flowers-and-their-stories,37,22,1400
https://www.example-florist.com/blogs/news/10-eco-friendly-floral-ideas-for-sustainable-gifting,text/html; charset=utf-8,200,OK,Indexable,,"Eco-Friendly Floral Ideas for Sustainable Gifting",47,"Ten sustainable floral ideas for greener gifting including local blooms and reusable vases.",118,"Sustainable Floral Gift Ideas",28,https://www.example-florist.com/blogs/news/10-eco-friendly-floral-ideas-for-sustainable-gifting,35,20,1550
https://www.example-florist.com/blogs/news/what-flowers-should-i-order-for-a-funeral,text/html; charset=utf-8,200,OK,Indexable,,"Guide to Choosing Funeral Flowers",31,"Types, colors, and meanings of funeral flowers to help you order with confidence.",103,"Funeral Flowers Guide",21,https://www.example-florist.com/blogs/news/what-flowers-should-i-order-for-a-funeral,28,16,1720
https://www.example-florist.com/blogs/news/boxed-flower-arrangements-flower-care-tips,text/html; charset=utf-8,200,OK,Indexable,,"Boxed Flower Arrangements: Care Tips",35,"How to care for boxed flower arrangements so they stay fresh and beautiful longer.",106,"Boxed Arrangement Care Tips",26,https://www.example-florist.com/blogs/news/boxed-flower-arrangements-flower-care-tips,19,15,980
https://www.example-florist.com/blogs/news/the-ultimate-guide-to-choosing-flowers-for-any-occasion,text/html; charset=utf-8,200,OK,Indexable,,"Choosing Flowers for Any Occasion: The Ultimate Guide",57,"A practical guide to choosing flowers for birthdays, anniversaries, and more.",95,"How to Choose Flowers for Any Occasion",38,https://www.example-florist.com/blogs/news/the-ultimate-guide-to-choosing-flowers-for-any-occasion,33,19,2100
https://www.example-florist.com/blogs/news/the-science-of-flowers-how-blooms-impact-your-mood-and-well-being,text/html; charset=utf-8,200,OK,Indexable,,"Do Flowers Boost Mood? The Science Explained",42,"Explore research on how flowers affect mood, stress, and well-being.",88,"Do Flowers Boost Mood and Well-Being?",36,https://www.example-florist.com/blogs/news/the-science-of-flowers-how-blooms-impact-your-mood-and-well-being,21,17,1300
https://www.example-florist.com/blogs/news/fresh-start-flowers-to-brighten-your-new-year,text/html; charset=utf-8,200,OK,Indexable,,"Winter Whites: Flowers for a Fresh New Year",39,"Elegant winter flower ideas to refresh your space in January.",72,"Winter White Floral Ideas",24,https://www.example-florist.com/blogs/news/fresh-start-flowers-to-brighten-your-new-year,18,12,1100
https://www.example-florist.com/blogs/news/10-fall-flower-arrangement-ideas-for-2025,text/html; charset=utf-8,200,OK,Indexable,,"Fall Flower Arrangement Ideas (2025)",33,"Ten cozy fall flower arrangement ideas using seasonal textures and colors.",96,"Fall Flower Arrangement Ideas",28,https://www.example-florist.com/blogs/news/10-fall-flower-arrangement-ideas-for-2025,22,14,1250
https://www.example-florist.com/blogs/news/a-guide-to-writing-heartfelt-valentines-day-card-messages,text/html; charset=utf-8,200,OK,Indexable,,"Valentine’s Day Card Messages: Heartfelt Ideas",44,"Short, sincere card messages for Valentine’s Day to pair with flowers.",86,"Valentine’s Day Card Messages",30,https://www.example-florist.com/blogs/news/a-guide-to-writing-heartfelt-valentines-day-card-messages,26,13,1350
https://www.example-florist.com/blogs/news/how-to-make-your-floral-arrangements-last-longer,text/html; charset=utf-8,200,OK,Indexable,,"How to Make Flowers Last Longer",31,"Easy at-home tricks to extend the life of your floral arrangements.",78,"Make Your Flowers Last Longer",29,https://www.example-florist.com/blogs/news/how-to-make-your-floral-arrangements-last-longer,24,16,1200
https://www.example-florist.com/blogs/news/what-do-pink-roses-really-say-symbolism-shades-occasions,text/html; charset=utf-8,200,OK,Indexable,,"Pink Roses Meaning: Symbolism, Shades, Occasions",49,"What pink roses really say: a guide to symbolism and occasions.",78,"Pink Roses Meaning",19,https://www.example-florist.com/blogs/news/what-do-pink-roses-really-say-symbolism-shades-occasions,20,18,1250
https://www.example-florist.com/blogs/news/rosh-hashanah-flowers-symbolic-blooms-for-the-jewish-new-year,text/html; charset=utf-8,200,OK,Indexable,,"Rosh Hashanah Flowers: Symbolic Blooms",38,"Meaningful flowers for Rosh Hashanah and how to choose them.",73,"Rosh Hashanah Flowers",22,https://www.example-florist.com/blogs/news/rosh-hashanah-flowers-symbolic-blooms-for-the-jewish-new-year,18,12,1050
https://www.example-florist.com/blogs/news/desk-goals-why-petite-floral-arrangements-are-the-ultimate-decor-hack,text/html; charset=utf-8,200,OK,Indexable,,"Petite Floral Arrangements for Your Desk",38,"Small floral arrangements that boost mood and style without clutter.",85,"Desk-Friendly Petite Arrangements",30,https://www.example-florist.com/blogs/news/desk-goals-why-petite-floral-arrangements-are-the-ultimate-decor-hack,16,11,980
https://www.example-florist.com/products/lillian,text/html; charset=utf-8,200,OK,Indexable,,"The Lillian — Garden-Style Arrangement",33,"Our Lillian arrangement: soft pinks and greens in a classic vase. Order online.",92,"The Lillian",11,https://www.example-florist.com/products/lillian,36,51,300
https://www.example-florist.com/products/rose-deluxe,text/html; charset=utf-8,200,OK,Indexable,,"Rose Deluxe — Elegant Long-Stem Roses",42,"Premium long-stem roses arranged with greens for any special occasion.",98,"Rose Deluxe",11,https://www.example-florist.com/products/rose-deluxe,34,49,350
https://www.example-florist.com/products/seasonal-white-bouquet,text/html; charset=utf-8,200,OK,Indexable,,"Seasonal White Bouquet — Modern Arrangement",49,"Elegant white bouquet with seasonal flowers in a chic glass vase.",89,"Seasonal White Bouquet",22,https://www.example-florist.com/products/seasonal-white-bouquet,31,40,320
https://www.example-florist.com/pages/about,text/html; charset=utf-8,200,OK,Indexable,,"About Example Florist",25,"Learn about Example Florist, our story, and our dedication to local floral design.",92,"About Us",8,https://www.example-florist.com/pages/about,22,28,400
https://www.example-florist.com/collections/sympathy-flowers,text/html; charset=utf-8,200,OK,Indexable,,"Sympathy Flowers Collection | Example Florist",43,"Thoughtful sympathy flower arrangements for delivery.",55,"Sympathy Flowers",17,https://www.example-florist.com/collections/sympathy-flowers,48,62,450
